customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,event_id,batch_date,score,predicted_label,priority_band,case_status,analyst_owner,sla_hours_remaining
2955-BJZHG,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85,evt_000000,2026-01-01,0.739080227286612,1,High,New,M. Ali,24
4702-HDRKD,Male,0,No,No,67,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),49.35,3321.35,evt_000001,2026-01-01,0.07405129611413815,0,Low,Queued,R. Ahmed,45
7067-KSAZT,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.25,6979.8,evt_000002,2026-01-01,0.549989125708207,1,High,New,Unassigned,25
3707-GNWHM,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,evt_000003,2026-01-01,0.85190227334598,1,Critical,Queued,R. Ahmed,7
2239-CFOUJ,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.4,20.4,evt_000004,2026-01-01,0.20192425799819677,0,Low,Resolved,R. Ahmed,41
6048-QBXKL,Female,1,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.55,118.25,evt_000005,2026-01-01,0.6848842813589974,1,High,Queued,S. Fatima,21
2188-SXWVT,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,55.0,1885.15,evt_000006,2026-01-01,0.1120753837651806,0,Low,Resolved,A. Khan,30
4317-VTEOA,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.75,50.75,evt_000007,2026-01-01,0.7086706709066367,1,High,New,M. Ali,31
3812-LRZIR,Female,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.5,761.95,evt_000008,2026-01-01,0.07026960694899995,0,Low,Queued,Unassigned,16
6701-YVNQG,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.7,6301.7,evt_000009,2026-01-01,0.048042803354450055,0,Low,Investigating,R. Ahmed,35
2101-RANCD,Female,0,No,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.1,4144.9,evt_000010,2026-01-01,0.6051035547866116,1,High,Queued,M. Ali,25
7873-CVMAW,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.55,6362.35,evt_000011,2026-01-01,0.03450328847858388,0,Low,New,S. Fatima,18
8988-ECPJR,Female,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.6,2718.3,evt_000012,2026-01-01,0.6316665186480417,1,High,Investigating,Unassigned,15
7636-PEPNS,Female,0,Yes,Yes,58,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,44.1,2413.05,evt_000013,2026-01-01,0.0906856655506141,0,Low,New,R. Ahmed,36
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,evt_000014,2026-01-01,0.8651375125571095,1,Critical,Queued,R. Ahmed,13
0322-CHQRU,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,89.5,evt_000015,2026-01-01,0.6643290445499369,1,High,Resolved,Unassigned,7
0913-XWSCN,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,evt_000016,2026-01-01,0.46407793260539926,0,Moderate,New,R. Ahmed,42
8873-GLDMH,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,evt_000017,2026-01-01,0.825682691477605,1,Critical,New,R. Ahmed,17
1069-XAIEM,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,evt_000018,2026-01-01,0.9204848606173552,1,Critical,New,M. Ali,31
2498-XLDZR,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,73.6,2316.85,evt_000019,2026-01-01,0.05130550405529569,0,Low,New,A. Khan,34
4500-HKANN,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Mailed check,59.7,1414.2,evt_000020,2026-01-01,0.09591376751727618,0,Low,New,Unassigned,40
3055-VTCGS,Female,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),58.55,3503.5,evt_000021,2026-01-01,0.08981958646175238,0,Low,Investigating,R. Ahmed,30
9840-DVNDC,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.5,463.05,evt_000022,2026-01-01,0.817232543579331,1,Critical,New,S. Fatima,34
5027-YOCXN,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),110.05,5686.4,evt_000023,2026-01-01,0.22870519655999155,0,Low,Investigating,R. Ahmed,40
1353-GHZOS,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),59.75,1374.35,evt_000024,2026-01-01,0.2862099126958978,0,Moderate,New,A. Khan,45
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,evt_000025,2026-01-01,0.8759115026131337,1,Critical,New,Unassigned,4
9530-GRMJG,Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.1,5979.7,evt_000026,2026-01-01,0.08607199429365081,0,Low,New,M. Ali,36
5524-KHNJP,Male,0,Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.75,2453.3,evt_000027,2026-01-01,0.17481586987977024,0,Low,Investigating,Unassigned,10
1465-LNTLJ,Male,1,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,581.7,evt_000028,2026-01-01,0.6189238755350861,1,High,Queued,S. Fatima,42
2773-MADBQ,Female,0,No,No,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,53.1,1901.25,evt_000029,2026-01-01,0.10464864201004437,0,Low,New,M. Ali,4
