feature,coefficient,abs_coefficient
tenure,-1.1245939242117649,1.1245939242117649
Contract_Two year,-0.7653803271112192,0.7653803271112192
InternetService_Fiber optic,0.7024514802733043,0.7024514802733043
MonthlyCharges,-0.6696482234747123,0.6696482234747123
Contract_Month-to-month,0.6340880849502694,0.6340880849502694
InternetService_DSL,-0.626476384539301,0.626476384539301
TotalCharges,0.4675643679304099,0.4675643679304099
TechSupport_No internet service,-0.2824505174313321,0.2824505174313321
DeviceProtection_No internet service,-0.2824505174313321,0.2824505174313321
InternetService_No,-0.2824505174313321,0.2824505174313321
OnlineSecurity_No internet service,-0.2824505174313321,0.2824505174313321
StreamingMovies_No internet service,-0.2824505174313321,0.2824505174313321
StreamingTV_No internet service,-0.2824505174313321,0.2824505174313321
OnlineBackup_No internet service,-0.2824505174313321,0.2824505174313321
StreamingMovies_Yes,0.2795354873177822,0.2795354873177822
PaperlessBilling_No,-0.2746461027560935,0.2746461027560935
StreamingTV_Yes,0.25320077392932516,0.25320077392932516
PaymentMethod_Electronic check,0.230089961676509,0.230089961676509
Dependents_Yes,-0.2098941966983955,0.2098941966983955
MultipleLines_No,-0.2037858290845988,0.2037858290845988
StreamingMovies_No,-0.20356039158296083,0.20356039158296083
OnlineSecurity_No,0.1926457896573533,0.1926457896573533
StreamingTV_No,-0.17722567819462753,0.17722567819462753
PaymentMethod_Credit card (automatic),-0.1700919493225135,0.1700919493225135
TechSupport_No,0.1699776113956136,0.1699776113956136
PaymentMethod_Bank transfer (automatic),-0.16817594948219464,0.16817594948219464
gender_Female,-0.12400679947077889,0.12400679947077889
PhoneService_No,-0.12166366040374532,0.12166366040374532
MultipleLines_No phone service,-0.12166366040374532,0.12166366040374532
MultipleLines_Yes,0.1189740677915951,0.1189740677915951
OnlineSecurity_Yes,-0.11667069392327606,0.11667069392327606
Partner_No,-0.11227957759289434,0.11227957759289434
PaymentMethod_Mailed check,-0.09829748456983028,0.09829748456983028
Partner_Yes,-0.09419584410362891,0.09419584410362891
TechSupport_Yes,-0.09400251566242519,0.09400251566242519
PhoneService_Yes,-0.08481176129465914,0.08481176129465914
gender_Male,-0.0824686222254729,0.0824686222254729
Contract_One year,-0.07518317953631228,0.07518317953631228
PaperlessBilling_Yes,0.06817068105919313,0.06817068105919313
OnlineBackup_No,0.06518338601461052,0.06518338601461052
DeviceProtection_Yes,0.06400107504014522,0.06400107504014522
SeniorCitizen,0.06168219807587946,0.06168219807587946
DeviceProtection_No,0.011974020694563922,0.011974020694563922
OnlineBackup_Yes,0.010791709719949786,0.010791709719949786
Dependents_No,0.0034187750006688666,0.0034187750006688666
